amplicon	strand	treatment	sample	numerator	denominator	edited
chr10_132887513-132887740	+	unsorted TadCBEd-treated	OT-hR37X-SpTadCBEd-US-R1_S1	12	1587	0.007561436672967864
chr10_132887513-132887740	+	unsorted TadCBEd-treated	OT-hR37X-SpTadCBEd-US-R2_S3	20	3732	0.0053590568060021436
chr10_132887513-132887740	+	unsorted TadCBEd-treated	OT-hR37X-SpTadCBEd-US-R3_S5	23	4408	0.0052177858439201455
chr10_132887513-132887740	+	untreated	OT-hR37X-NT-R1_S7	17	2753	0.006175081729022884
chr10_132887513-132887740	+	untreated	OT-hR37X-NT-R2_S8	10	1996	0.00501002004008016
chr10_132887513-132887740	+	untreated	OT-hR37X-NT-R3_S9	8	1803	0.004437049362174155
chr11_15710664-15710823	-	unsorted TadCBEd-treated	OT-hR37X-SpTadCBEd-US-R1_S1	69	4445	0.015523059617547807
chr11_15710664-15710823	-	unsorted TadCBEd-treated	OT-hR37X-SpTadCBEd-US-R2_S3	120	7225	0.01660899653979239
chr11_15710664-15710823	-	unsorted TadCBEd-treated	OT-hR37X-SpTadCBEd-US-R3_S5	112	9124	0.012275317843051293
chr11_15710664-15710823	-	untreated	OT-hR37X-NT-R1_S7	69	6638	0.01039469719795119
chr11_15710664-15710823	-	untreated	OT-hR37X-NT-R2_S8	69	6548	0.010537568723274281
chr11_15710664-15710823	-	untreated	OT-hR37X-NT-R3_S9	40	4200	0.009523809523809525
chr11_3938398-3938568	-	unsorted TadCBEd-treated	OT-hR37X-SpTadCBEd-US-R1_S1	87	13520	0.006434911242603551
chr11_3938398-3938568	-	unsorted TadCBEd-treated	OT-hR37X-SpTadCBEd-US-R2_S3	117	19933	0.0058696633722971955
chr11_3938398-3938568	-	unsorted TadCBEd-treated	OT-hR37X-SpTadCBEd-US-R3_S5	69	13863	0.00497727764553127
chr11_3938398-3938568	-	untreated	OT-hR37X-NT-R1_S7	82	19898	0.004121017187657051
