amplicon	strand	p_value	editing_BE39max	editing_untreated	difference
chr10_13306458-13306639	+	0.35642375431414536	0.004702301307707371	0.004519863138665806	1.8243816904156464e-4
chr10_43494250-43494415	+	0.3885362483097736	0.0039916671994670964	0.003803724289894202	1.879429095728944e-4
chr10_50895127-50895356	+	0.17238425536509955	0.004186483346039363	0.0031309488351614198	0.0010555345108779436
chr10_6119668-6119902	-	0.2553110196751104	0.0037665367925842712	0.003124957229601395	6.415795629828762e-4
chr10_79720035-79720254	+	0.867818834006284	0.001833568162830545	0.002304728317803874	-4.711601549733291e-4
chr11_103829451-103829633	+	0.13125637944102836	0.004283542868539106	0.0039282852331500775	3.5525763538902817e-4
chr11_113573551-113573732	+	0.0028135469017990028	0.01542984909741092	0.0065321311119969664	0.008897717985413955
chr11_30184706-30184927	+	0.2789079403720028	0.004459109544256654	0.004160441480615876	2.9866806364077774e-4
chr11_52420389-52420626	-	0.6197880337126112	0.005499152779191042	0.005662221236825784	-1.6306845763474232e-4
chr11_5261227-5261385	+	0.2389229602613478	0.005754874570731369	0.004135062613222358	0.001619811957509011
chr11_53055472-53055684	+	0.44627841132312174	0.005489666578472312	0.005449679634545191	3.998694392712103e-5
chr11_71871185-71871353	+	0.01706263352353168	0.006168709768537564	0.005701823945620173	4.668858229173907e-4
chr12_100442589-100442788	-	0.054710309060994264	0.003985996602917761	0.0031116641041809244	8.743324987368368e-4
chr12_111466032-111466188	+	0.6922309803023821	0.00368990658815987	0.003871890628079654	-1.819840399197841e-4
chr13_101231637-101231880	+	0.02967504838899971	0.003866026199239368	0.0032402212482189998	6.258049510203681e-4
chr13_114845677-114845838	-	0.6895504963011113	0.003595426075770156	0.003728484617553404	-1.3305854178324817e-4
chr13_19925284-19925460	-	0.011465003762446168	0.0040536853683853175	0.0034224428732081303	6.312424951771872e-4
chr13_49075601-49075797	-	0.9710338562480652	0.0031601357689687273	0.003844684007928898	-6.845482389601708e-4
chr13_57485880-57486118	-	0.34090548255629816	0.0038205699874593376	0.0035363215395911255	2.842484478682121e-4
chr14_121266229-121266428	+	0.2240230085092664	0.004460430381758089	0.004101969377976546	3.584610037815428e-4
chr14_30163835-30164015	+	8.011510049258633e-4	0.03705100663638245	0.003907957910595668	0.033143048725786786
chr14_66727709-66727933	-	0.6927725074871429	0.004832323159316692	0.00513498057970314	-3.0265742038644745e-4
