amplicon	strand	treatment	sample	numerator	denominator	edited
chr10_13306458-13306639	+	BE39max	BE39max_35dpi_114200_id2_S7	249	41752	0.005963786165932171
chr10_13306458-13306639	+	BE39max	BE39max_35dpi_114202_id2_S9	234	43656	0.005360087960417812
chr10_13306458-13306639	+	BE39max	BE39max_35dpi_114202_id4_S10	254	42985	0.005909038036524369
chr10_13306458-13306639	+	BE39max	BE39max_35dpi_114203_id2_S11	225	39940	0.005633450175262894
chr10_13306458-13306639	+	BE39max	BE39max_35dpi_114203_id3_S12	219	36126	0.00606211592758678
chr10_13306458-13306639	+	TadCBEd	TadCBEd_35dpi_112448_id2_S14	313	54321	0.005762044144989967
chr10_13306458-13306639	+	TadCBEd	TadCBEd_35dpi_112451_id1_S15	310	53017	0.0058471810928570084
chr10_13306458-13306639	+	TadCBEd	TadCBEd_35dpi_112451_id2_S16	318	53551	0.0059382644581800524
chr10_13306458-13306639	+	TadCBEd	TadCBEd_35dpi_112453_id1_S17	286	50622	0.005649717514124294
chr10_13306458-13306639	+	TadCBEd	TadCBEd_35dpi_112453_id2_S18	227	42571	0.005332268445655493
chr10_13306458-13306639	+	untreated	NT_35dpi_112448_id3_S2	255	41939	0.006080259424402107
chr10_13306458-13306639	+	untreated	NT_35dpi_112453_id3_S1	253	44060	0.005742169768497504
chr10_13306458-13306639	+	untreated	NT_35dpi_114199_id2_S3	258	41944	0.006151058554262827
chr10_13306458-13306639	+	untreated	NT_35dpi_114205_id1_S4	204	37974	0.00537209669774056
chr10_13306458-13306639	+	untreated	NT_35dpi_114205_id4_S5	228	42106	0.005414905239158315
chr10_13306458-13306639	+	untreated	NT_35dpi_114206_id1_S6	219	37461	0.0058460799231200445
chr10_43494250-43494415	+	BE39max	BE39max_35dpi_114200_id2_S7	69	17104	0.004034144059869037
chr10_43494250-43494415	+	BE39max	BE39max_35dpi_114202_id2_S9	72	16023	0.004493540535480247
chr10_43494250-43494415	+	BE39max	BE39max_35dpi_114202_id4_S10	72	16672	0.004318618042226488
chr10_43494250-43494415	+	BE39max	BE39max_35dpi_114203_id2_S11	61	14840	0.004110512129380054
chr10_43494250-43494415	+	BE39max	BE39max_35dpi_114203_id3_S12	78	19065	0.004091266719118804
chr10_43494250-43494415	+	TadCBEd	TadCBEd_35dpi_112448_id2_S14	100	19993	0.0050017506127144505
chr10_43494250-43494415	+	TadCBEd	TadCBEd_35dpi_112451_id1_S15	80	19867	0.004026778074193386
chr10_43494250-43494415	+	TadCBEd	TadCBEd_35dpi_112451_id2_S16	82	19849	0.004131190488185802
chr10_43494250-43494415	+	TadCBEd	TadCBEd_35dpi_112453_id1_S17	80	18362	0.0043568238753948375
chr10_43494250-43494415	+	TadCBEd	TadCBEd_35dpi_112453_id2_S18	86	18314	0.0046958610898765974
chr10_43494250-43494415	+	untreated	NT_35dpi_112448_id3_S2	74	15206	0.004866500065763515
chr10_43494250-43494415	+	untreated	NT_35dpi_112453_id3_S1	91	17809	0.005109775955977315
chr10_43494250-43494415	+	untreated	NT_35dpi_114199_id2_S3	57	15536	0.003668898043254377
chr10_43494250-43494415	+	untreated	NT_35dpi_114205_id1_S4	71	16005	0.00443611371446423
chr10_43494250-43494415	+	untreated	NT_35dpi_114205_id4_S5	80	18601	0.004300844040642976
chr10_43494250-43494415	+	untreated	NT_35dpi_114206_id1_S6	87	18487	0.004706009628387515
chr10_50895127-50895356	+	BE39max	BE39max_35dpi_114200_id2_S7	464	100296	0.0046263061338438225
chr10_50895127-50895356	+	BE39max	BE39max_35dpi_114202_id2_S9	414	86025	0.004812554489973845
chr10_50895127-50895356	+	BE39max	BE39max_35dpi_114202_id4_S10	416	90960	0.004573438874230431
chr10_50895127-50895356	+	BE39max	BE39max_35dpi_114203_id2_S11	362	72521	0.004991657588836337
chr10_50895127-50895356	+	BE39max	BE39max_35dpi_114203_id3_S12	459	91845	0.004997550220480157
chr10_50895127-50895356	+	TadCBEd	TadCBEd_35dpi_112448_id2_S14	432	87517	0.004936183827142155
chr10_50895127-50895356	+	TadCBEd	TadCBEd_35dpi_112451_id1_S15	420	86471	0.0048571197280012956
chr10_50895127-50895356	+	TadCBEd	TadCBEd_35dpi_112451_id2_S16	430	82601	0.005205748114429608
chr10_50895127-50895356	+	TadCBEd	TadCBEd_35dpi_112453_id1_S17	403	83434	0.004830165160486133
chr10_50895127-50895356	+	TadCBEd	TadCBEd_35dpi_112453_id2_S18	396	85243	0.004645542742512582
chr10_50895127-50895356	+	untreated	NT_35dpi_112448_id3_S2	406	80507	0.005043039735675159
chr10_50895127-50895356	+	untreated	NT_35dpi_112453_id3_S1	370	82182	0.004502202428755688
chr10_50895127-50895356	+	untreated	NT_35dpi_114199_id2_S3	330	73892	0.004465977372381314
chr10_50895127-50895356	+	untreated	NT_35dpi_114205_id1_S4	327	72185	0.00453002701392256
chr10_50895127-50895356	+	untreated	NT_35dpi_114205_id4_S5	371	80858	0.004588290583492048
chr10_50895127-50895356	+	untreated	NT_35dpi_114206_id1_S6	378	85052	0.004444339933217326
chr10_6119668-6119902	-	BE39max	BE39max_35dpi_114200_id2_S7	2145	17369	0.12349588347055099
chr10_6119668-6119902	-	BE39max	BE39max_35dpi_114202_id2_S9	2252	17740	0.12694475760992108
chr10_6119668-6119902	-	BE39max	BE39max_35dpi_114202_id4_S10	2095	16472	0.12718552695483246
chr10_6119668-6119902	-	TadCBEd	TadCBEd_35dpi_112448_id2_S14	3055	24397	0.12522031397302946
chr10_6119668-6119902	-	TadCBEd	TadCBEd_35dpi_112451_id1_S15	2705	21923	0.12338639784700998
chr10_6119668-6119902	-	TadCBEd	TadCBEd_35dpi_112451_id2_S16	2412	19827	0.12165229232864276
chr10_6119668-6119902	-	TadCBEd	TadCBEd_35dpi_112453_id1_S17	2631	21301	0.12351532791887705
chr10_6119668-6119902	-	TadCBEd	TadCBEd_35dpi_112453_id2_S18	2624	20878	0.12568253664144075
chr10_6119668-6119902	-	untreated	NT_35dpi_112448_id3_S2	2484	19192	0.12942892872030012
chr10_6119668-6119902	-	untreated	NT_35dpi_112453_id3_S1	2410	20468	0.11774477232753566
chr10_6119668-6119902	-	untreated	NT_35dpi_114205_id1_S4	2097	16613	0.12622644916631554
chr10_6119668-6119902	-	untreated	NT_35dpi_114205_id4_S5	2250	18197	0.12364675495960872
chr10_6119668-6119902	-	untreated	NT_35dpi_114206_id1_S6	2087	16704	0.12494013409961686
chr10_6119668-6119902	gRNA NotFound	BE39max	BE39max_35dpi_114203_id2_S11	2155	17046	0.1264226211427901
