amplicon	strand	p_value	editing_GFP_sorted	editing_untreated	difference
chr10_132887513-132887740	+	0.5366827948430031	0.005067186987640157	0.005207383710425733	-1.401967227855766e-4
chr11_15710664-15710823	-	0.005168079668671146	0.07682600406808207	0.010152025148344998	0.06667397891973707
chr11_3938398-3938568	-	7.857580836220334e-4	0.03925080042171977	0.004059704689037412	0.03519109573268236
chr11_60615875-60616034	-	0.023778751506744043	0.006982165408527449	0.005146428358384465	0.001835737050142984
chr12_117452896-117453078	+	0.12683038346904327	0.04143772959686922	0.03625249341370685	0.00518523618316237
chr12_122502982-122503164	-	4.649436027916465e-4	0.23744047759831738	0.00430189997652658	0.2331385776217908
chr12_133199694-133199883	-	0.9479971907579994	0.004567497658441671	0.005744166410812646	-0.001176668752370975
chr12_3311817-3312020	-	0.138975845743803	0.007133531911513563	0.0043890593730145765	0.0027444725384989863
chr12_43070476-43070668	-	0.5354366388030786	0.005159723457480921	0.005304202922722567	-1.4447946524164586e-4
chr12_95232437-95232602	-	0.866110399456285	0.005388867750540165	0.005998026605679408	-6.091588551392427e-4
chr14_92955814-92955983	-	0.04635036373303366	0.007168139831903825	0.004564712977217066	0.0026034268546867587
chr15_28008753-28008910	+	0.14232745284371517	0.005486193829982769	0.003162874765498428	0.0023233190644843405
chr15_78984224-78984415	-	0.28285943182382545	0.007120703066940199	0.006827054975664548	2.9364809127565075e-4
chr15_86628542-86628724	-	0.007233864948927022	0.013266293841569998	0.004805658676013044	0.008460635165556955
chr15_89124512-89124687	-	0.447822917529977	0.006200623574585436	0.006047754286863602	1.5286928772183413e-4
chr16_3515802-3515970	+	0.0012623616779641113	0.010452418544356286	0.005490596770419384	0.0049618217739369015
chr16_545175-545416	+	0.04483543606987923	0.010468070510005242	0.007018520794173323	0.0034495497158319195
chr17_18914340-18914505	+	0.7814173535959901	0.00413223088961165	0.004669399451591218	-5.371685619795681e-4
chr17_2031349-2031574	+	0.08324007291680559	0.0086880905357903	0.004475940155144159	0.004212150380646141
chr17_40220117-40220303	-	0.13056524339240058	0.006214152946815967	0.005424066972270893	7.900859745450742e-4
chr17_40847661-40847818	-	0.002220776488370395	0.061045131156916926	0.0052812522029336275	0.0557638789539833
chr17_45005333-45005512	-	0.13847503254170562	0.0046031145784275525	0.0037117675348692916	8.91347043558261e-4
chr17_52382550-52382778	-	0.22083325198029088	0.004395586795072394	0.004020930320389269	3.746564746831254e-4
chr17_61511269-61511475	-	0.019380321025614114	0.017440252585537018	0.003449960958855451	0.013990291626681566
chr17_76300934-76301163	-	0.26386165826422237	0.0061846107914587355	0.005514915815065785	6.696949763929502e-4
chr17_77652091-77652331	-	0.7819974024974565	0.0051786757997048715	0.005404926620903391	-2.2625082119851966e-4
chr18_11041813-11042050	-	0.7866309404907916	0.002388243896972662	0.0028864617132345963	-4.982178162619344e-4
chr18_29580811-29580990	+	0.21811178527266073	0.006313003558528076	0.004600066419525789	0.0017129371390022874
chr18_49218685-49218869	-	0.06265970597270855	0.006368830417436778	0.005500292699840285	8.685377175964926e-4
chr18_74171030-74171264	-	0.4886254668090162	0.004109748313548857	0.004076040687136325	3.3707626412532096e-5
chr1_111032325-111032499	-	4.675519570479533e-4	0.038565810886774306	0.005833506453350674	0.032732304433423634
chr1_18484952-18485140	-	0.10418993057209852	0.007928860541400115	0.0036186980014635646	0.0043101625399365505
chr1_198946376-198946549	+	0.12477135012668765	0.027014975444903142	0.0242075531239053	0.0028074223209978433
chr1_2045336-2045540	-	0.0022646505764624624	0.028859297302769305	0.005963669261029718	0.022895628041739585
chr1_209423825-209424003	-	0.921732979152577	0.0037973236444239994	0.004179490605257834	-3.82166960833835e-4
chr1_210794357-210794520	-	0.09182396872386651	0.0024387895790901662	0.0018473335794922776	5.914559995978887e-4
chr1_27293403-27293618	-	0.4614779656981942	0.0042840295282123905	0.004236332144765877	4.769738344651345e-5
chr20_1797181-1797350	+	0.006430134740005388	0.024637522547341036	0.003804310873793507	0.020833211673547528
chr20_2127723-2127883	+	0.09920771322292993	0.004553685515589625	0.0038458169667839725	7.078685488056524e-4
chr20_29938364-29938551	-	0.10989874428622783	0.003615822233901689	0.0029739799902185767	6.418422436831124e-4
chr20_4679914-4680144	+	5.6887275952122886e-8	0.9397931838813195	0.007510033105262598	0.932283150776057
